acc_id,card_code,balance,comp_id,bank_country
e6c3150c-4091-4bd9-b41b-b2101af16750,GB30BGVX43255787269501,939083.07,628ece20-252b-41ee-af08-5e479af73612,Cocos (Keeling) Islands
98b056fd-b1f2-46e9-aadb-8bf6aca63bec,GB86WQXS46503420260845,596798.52,76bc0f19-55a6-486d-a493-98dc67ee3215,Bangladesh
92515b8c-f5a7-4472-ac72-3bfa0cc8c060,GB42FHZB67624445672516,613575.28,a8a5e3b4-1700-49ac-b4ce-13c898b8acea,Spain
06d329db-2f69-4ce7-88f0-c73075bc18a0,GB35BURG17226152717679,475955.42,326a0ad9-2852-4cd0-91d2-301ac21ed7f3,Maldives
ac257f54-6c90-4076-8e35-5987259db6b1,GB68SBBX21517213254835,322473.37,aabc2297-ef42-421b-8dbe-6eac3b05ebde,Uganda
0421309d-bcaf-449d-ae6d-9a17ea8a3e7b,GB83XINU63622180823520,193396.84,8d660279-f9b9-4be6-9e7e-100c910ba2e8,Kazakhstan
8c6515f2-b59e-4bf5-93a4-d3bbe56f82bd,GB60ADIQ65760052798084,547363.43,4272658a-51e9-4023-a28b-30e150602a38,Saint Barthelemy
d51a9e65-77d0-4414-8be8-3b91354a5e2d,GB71HQEM67102525582303,803700.24,580f4c7c-3f1a-4d73-b816-5d668fdda4fd,United States Minor Outlying Islands
7a60fad1-3b64-457f-b553-670a289bba79,GB94TXTF56845300083760,618978.05,a3ea9596-1ee3-432f-ad9d-32ec246ef5b0,Western Sahara
66dfc93c-fb95-4412-abc5-611004285d9a,GB71DPIL00201559631316,990257.96,e9c681b4-d504-403c-aaf6-4bfa1700862b,Russian Federation
1a867f1d-10b7-4cf8-bec4-644717b1ab7a,GB58PTGC47287061438495,78865.38,67cb6d16-baf9-4188-8466-d558c2b4cd67,Netherlands
11b28403-7591-4dae-bb20-f15a76a10044,GB74OGXS18778842120680,60893.39,5ee8a30d-6150-44d4-a95a-72c472605ece,Andorra
6d3d367e-ee35-4e0f-8ea3-38bcd33fd979,GB30MAOX21677537308467,638280.67,40e5fe03-a185-4002-99ec-7b1cc51a8227,Somalia
59cb10f1-c46f-4dbd-81fe-34ed13a85e41,GB20SLBQ15082820248740,858720.76,878bc91b-433c-413f-b9d9-66bcd9a9a7de,Papua New Guinea
62b736ae-c510-4246-b731-bdc46457f837,GB15IPKU82968238552617,868483.14,14ee841a-16b1-4e7c-872b-a4e3ad853e28,Congo
683bb998-6151-4203-8bab-c2590b1b8307,GB54DFKE70116324871391,472869.96,a47becc6-3832-45e8-b5f0-6d3fc4c1cd6a,Nigeria
8e353ea6-ea06-49c4-928c-c1f82deda5da,GB61FANK25431849960072,907331.28,641f0a1c-3d18-4a2d-9050-4cd903b57802,Czech Republic
5f93accd-38a2-4804-9181-06562d122d22,GB57UUFN28797617111256,685435.94,573cffb9-f926-4331-98b6-c87cb929cb18,Armenia
33eb70f1-46c8-4d4f-b1aa-2df0f69b8fe4,GB74SGGS88691474312129,166107.22,f790ec5f-a02f-45ed-bdca-c7520f2f7d38,Kuwait
142c9411-367a-4edb-b262-33a0708da616,GB61TGZP31573956346732,769020.38,ab21a96c-71b1-471a-81ab-72b7cfa118db,Somalia
fb268fb8-7afc-407b-a776-b304206dbfde,GB33YEWT36368107392283,79852.3,de2fafc5-c278-4129-b1cc-ca6c92d9ff2b,Gabon
ea989039-4989-42d6-8f01-e4e265031899,GB92XZZC80216727854675,485246.02,f9651a38-9706-44e5-ba0a-0440f0ca7fc1,Latvia
16933157-ffe2-4b77-bc40-efbb9c361ba3,GB63PHAR64956795382735,64047.45,2a7c048c-668f-4318-ac17-285254aa54f1,Georgia
bc3466ff-62c5-4d17-89e3-ac246752bfeb,GB70UFZP56852190770237,669653.82,7f50c599-a5ca-4b3b-98b2-f43001c1f1f0,Maldives
08b99eb1-8a45-4cd2-9dff-799846849e74,GB14PLWF22208154472283,732202.32,c04a080c-b77c-4318-ab33-3d85849e990a,Kazakhstan
