acc_id,card_code,balance,comp_id,bank_country
4c909737-34da-4b81-8d73-76fb5d6123bf,GB36PEPT58118296516576,691483.19,9f70e760-5119-4faf-a857-ed9e12b303d0,Tuvalu
56ef6675-045b-405c-bc00-fe8ebe1b41d1,GB61OBDX33289894191223,776820.03,4bea4e6a-d15d-4f02-9251-e2c0da5eca96,Marshall Islands
d3323f4e-669c-42b4-ac9f-1a4de865ecc1,GB05UOQD46223762610044,302205.35,98257dfc-60d4-4941-a751-0e3a568b0b4b,Benin
0606abf0-556d-4c64-a57c-bb02bbd533be,GB42PXYO09817398425133,292539.6,25abeacd-55a3-4a78-9ad3-d666b988653a,Ethiopia
527f6e1f-e894-4395-87c3-30f142d836e9,GB62VMKO88938593844115,707945.19,7e5ba257-c8f3-4b95-80ea-f4563ee0f75f,Sao Tome and Principe
0aaec511-6917-465e-9a56-2114e2d70750,GB47AXJX15482998687358,26554.92,f613a10b-db69-4c2f-a38d-8960f3b6b3de,Japan
6e055a69-1ff9-4ba3-9e3e-e9b33ea7acd8,GB47MQKU43227061201597,517803.05,c771acac-7709-4b1b-bf0e-b5829181c7be,Comoros
534943fc-4dc8-42f6-9bdf-6eaf126ced7d,GB61HFNY85673233165736,176135.2,8a53c16b-6d5e-469e-aa01-d99f11985226,Equatorial Guinea
08efe045-8808-4c05-ba08-597cde094e37,GB53WTFP24861595518541,553106.07,309e8fda-adb8-47cf-8b57-06dadf8ab1f1,Fiji
7256b642-49e7-43b1-b5e9-42ec7a51fcf4,GB09EBER98248363010850,156750.85,06c69cbd-4a96-488e-9c79-97544f165cc3,Lesotho
9d997bcf-cf75-46bc-8b40-198aedc44353,GB52UGZB42964589232757,321436.1,64fa7057-e29b-44df-bbd0-352451d383f3,Serbia
518f7ac2-5adb-46d1-af3f-95caff4d1b6d,GB02LNRY47623097952892,718557.0,01c89b64-b89b-4613-9773-8c220a0dc6eb,Dominican Republic
148e00a7-d141-411f-ab74-f194f4786cc4,GB89XCFT08961118077477,903502.72,80e88d07-6faa-4969-84cf-26c0c62dba45,Romania
3a32b786-3e72-4653-840c-3e831f3809dc,GB63OKPB41701410773990,7491.53,73b756ce-accb-4c18-a52c-b7a67f01eff7,India
89024a6b-100f-4ec7-952a-146e5cecf0cf,GB93LXPZ22105995290786,452386.52,89d7448f-3901-4014-9bf7-625b32dd3c52,Bahrain
2d42054f-4cc1-45c4-9b2c-49368a533682,GB83HZFW44764892637503,796844.2,9c992322-f8a5-4312-9496-5cf267c1d81a,Grenada
2d3f139d-4da3-4a5f-af57-a34f02508f16,GB70MZUI89479660576295,826285.3,cf1ccdd8-fc08-4cc2-bfdb-8ce98360d7a0,Hong Kong
1f02ea24-6813-4da8-b498-ef304877c783,GB21GKMO63299330673349,496970.89,aa1947d2-1251-494f-a5fc-905f59ab8068,French Southern Territories
48647e41-e2e1-4af6-bee1-b321f62c19f4,GB43UIHQ13027738265645,455511.11,1fe24fbb-1683-46cc-861c-c248c439f123,Italy
ce638aba-3111-43eb-907d-4795e199d8d8,GB62OMQX18669278609333,632251.7,46342b9b-9f5d-4ed6-9e9b-e2499a899a7d,Tokelau
28dcf59c-94e9-4d11-9d5e-21d7bf370558,GB66XRYP42285627626816,640414.06,c855436c-6d8c-450e-8ce2-e4688780fd73,Korea
53080781-7014-4bfe-a451-a34766db7f9b,GB54NXLM63868006956119,645901.66,004b2ef5-7fea-4c96-be26-291869bae470,Greenland
44c2a37c-1ed1-40ec-8d47-eb4d7364609e,GB18ENFC53051996080392,746374.71,6f7bb490-dfed-4fe6-a3d4-2ddd82dd0274,Christmas Island
38d82c9d-2b07-4ae9-bb61-e9c3d2d925e4,GB22WYDU11113723658218,63225.18,b0f3967d-0e11-40c7-8e86-e4942ae08f45,Poland
86cc396f-36ed-4693-a858-3e6bc7b946c7,GB49EAMF73034680048350,394513.56,7d3893e5-b2c7-432c-9451-b4d4638afbb6,Guadeloupe
d02c0752-ffc2-4fb2-956c-74fdc760fd29,GB72TQTO16598984520104,639858.35,2ea8486a-5cc7-4817-94cf-bd1f5eb79d77,Malaysia
35791a7f-1296-417d-b0b1-9ffe2affadde,GB53CBSK96961527143224,940662.55,7e9c572f-a354-40b8-b389-341c87add57c,Qatar
